Problem,Solution,Category,Tags,Accuracy
MacBook's charger not charging,"1. Ensure power outlet is working. 2. Check for damages in the cable. 3. Reset SMC. 4. Try another official Apple charger. 5. If charging issues persist, consult Apple support.",Macbook,"charger,charging,cable",100%
MacBook's keys sticking or unresponsive,"1. Clean under the keys with compressed air. 2. Ensure no liquid damage. 3. Reset PRAM/NVRAM. 4. Update macOS. 5. If key issues persist, consult Apple support.",Macbook,"keys,sticking,compressed air",100%
MacBook's Notification Center not updating,"1. Check internet connection. 2. Restart MacBook. 3. Check System Preferences > Notifications settings. 4. Update macOS. 5. If update issues persist, consult Apple support.",Macbook,"Notification Center,updating,internet",100%
MacBook's Wi-Fi frequently disconnecting,"1. Forget the network and reconnect. 2. Reset network settings. 3. Check router and modem. 4. Update macOS. 5. If disconnection issues persist, consult Apple support.",Macbook,"Wi-Fi,disconnecting,router",100%
MacBook's system preferences not opening,"1. Restart MacBook. 2. Clear cache files. 3. Update macOS. 4. Launch in Safe Mode. 5. If opening issues persist, consult Apple support.",Macbook,"system preferences,opening,cache",100%
MacBook's DVD drive not reading discs,"1. Ensure the disc is clean. 2. Eject and reinsert the disc. 3. Restart MacBook. 4. Clean the DVD drive. 5. If reading issues persist, consult Apple support.",Macbook,"DVD drive,reading,discs",100%
MacBook's cursor is jumpy or erratic,"1. Clean the trackpad surface. 2. Ensure no external devices are causing interference. 3. Update macOS. 4. Reset PRAM/NVRAM. 5. If cursor issues persist, consult Apple support.",Macbook,"cursor,jumpy,trackpad",100%
MacBook's Bluetooth not connecting to devices,"1. Ensure the device is in pairing mode. 2. Restart Bluetooth on MacBook. 3. Update macOS. 4. Reset SMC. 5. If connection issues persist, consult Apple support.",Macbook,"Bluetooth,pairing,SMC",100%
MacBook's screen brightness is inconsistent,"1. Check auto-brightness settings. 2. Reset SMC. 3. Restart MacBook. 4. Update macOS. 5. If brightness issues persist, consult Apple support.",Macbook,"screen,brightness,auto-brightness",100%
MacBook's fans running loud or constantly,"1. Check Activity Monitor for resource-hungry apps. 2. Reset SMC. 3. Ensure vents aren't blocked. 4. Update macOS. 5. If fan issues persist, consult Apple support.",Macbook,"fans,loud,SMC",100%
MacBook's battery drains quickly,"1. Check Activity Monitor for battery-consuming apps. 2. Adjust brightness settings. 3. Update macOS. 4. Reset SMC. 5. If battery issues persist, consult Apple support.",Macbook,"battery,drains,Activity Monitor",100%
MacBook unable to read SD cards,"1. Ensure SD card is properly inserted. 2. Check for physical damage. 3. Update macOS. 4. Use Disk Utility to mount the card. 5. If SD issues persist, consult Apple support.",Macbook,"SD card,read,inserted",100%
MacBook's apps crash frequently,"1. Update the problematic app. 2. Clear app cache and preferences. 3. Restart MacBook. 4. Update macOS. 5. If crash issues persist, consult Apple support.",Macbook,"apps,crash,update",100%
MacBook's Mail app not sending emails,"1. Check internet connection. 2. Verify email settings. 3. Update Mail app. 4. Restart MacBook. 5. If email issues persist, consult Apple support.",Macbook,"Mail app,emails,sending",100%
MacBook produces static noise during audio playback,"1. Check audio source file. 2. Update audio drivers. 3. Restart MacBook. 4. Test with different speakers/headphones. 5. If static issues persist, consult Apple support.",Macbook,"static noise,audio,playback",100%
MacBook's Calendar app not syncing events,"1. Ensure logged in with correct Apple ID. 2. Check internet connection. 3. Update Calendar app. 4. Restart MacBook. 5. If syncing issues persist, consult Apple support.",Macbook,"Calendar app,syncing,events",100%
MacBook's Time Machine backup fails,"1. Ensure sufficient storage on backup disk. 2. Check disk for errors using Disk Utility. 3. Restart MacBook. 4. Update macOS. 5. If backup issues persist, consult Apple support.",Macbook,"Time Machine,backup,disk",100%
MacBook's touchpad gestures not working,"1. Go to System Preferences > Trackpad and check settings. 2. Restart MacBook. 3. Reset SMC. 4. Update macOS. 5. If gesture issues persist, consult Apple support.",Macbook,"touchpad,gestures,settings",100%
MacBook freezes during startup,"1. Boot in Safe Mode. 2. Check for peripheral devices causing issues. 3. Reset PRAM/NVRAM. 4. Update macOS in Recovery Mode. 5. If freezing persists, consult Apple support.",Macbook,"freezes,startup,Safe Mode",100%
MacBook's Finder not responding,"1. Relaunch Finder using Force Quit. 2. Clear Finder's cache files. 3. Restart MacBook. 4. Update macOS. 5. If responsiveness issues persist, consult Apple support.",Macbook,"Finder,not responding,cache",100%
MacBook's Wi-Fi signal is weak,"1. Ensure router is optimally positioned. 2. Check for interference from other devices. 3. Update macOS. 4. Restart MacBook and router. 5. If signal issues persist, consult Apple support.",Macbook,"Wi-Fi,signal,router",100%
MacBook's text looks blurry,"1. Adjust display settings in System Preferences. 2. Ensure screen is clean. 3. Check for macOS updates. 4. Reset PRAM/NVRAM. 5. If blurriness persists, consult Apple support.",Macbook,"text,blurry,display",100%
MacBook doesn't recognize external monitor,"1. Check cable connections. 2. Ensure monitor is powered on. 3. Update macOS. 4. Go to System Preferences > Displays and detect monitors. 5. If monitor issues persist, consult Apple support.",Macbook,"monitor,external,detect",100%
MacBook's volume buttons not working,"1. Check System Preferences > Sound settings. 2. Restart MacBook. 3. Update macOS. 4. Reset SMC. 5. If button issues persist, consult Apple support.",Macbook,"volume,buttons,SMC",100%
MacBook's keyboard typing wrong characters,"1. Check input source in System Preferences. 2. Clean keyboard with compressed air. 3. Restart MacBook. 4. Reset PRAM/NVRAM. 5. If keyboard issues persist, consult Apple support.",Macbook,"keyboard,characters,input",100%
MacBook gets excessively hot,"1. Check Activity Monitor for CPU-intensive tasks. 2. Ensure ventilation isn't blocked. 3. Restart MacBook. 4. Reset SMC. 5. If heating issues persist, consult Apple support.",Macbook,"hot,ventilation,Activity Monitor",100%
MacBook's speakers emitting a buzzing sound,"1. Check audio source for issues. 2. Reset PRAM/NVRAM. 3. Update macOS. 4. Test with external speakers. 5. If buzzing persists, consult Apple support.",Macbook,"speakers,buzzing,sound",100%
MacBook's Photos app crashing,"1. Update the Photos app. 2. Ensure enough storage space. 3. Restart MacBook. 4. Clear app cache. 5. If crashing continues, consult Apple support.",Macbook,"Photos app,crashing,update",100%
MacBook's display flickers intermittently,"1. Adjust brightness settings. 2. Update macOS. 3. Reset PRAM/NVRAM. 4. Check for faulty apps. 5. If flickering continues, consult Apple support.",Macbook,"display,flickers,brightness",100%
MacBook's Messages app not receiving texts,"1. Ensure logged in with correct Apple ID. 2. Check internet connection. 3. Update Messages app. 4. Restart MacBook. 5. If receiving issues persist, consult Apple support.",Macbook,"Messages app,texts,receiving",100%
MacBook's webcam not working,"1. Check privacy settings for camera access. 2. Restart MacBook. 3. Update macOS. 4. Test with another app. 5. If webcam issues persist, consult Apple support.",Macbook,"webcam,not working,privacy",100%
MacBook's microphone not picking up sound,"1. Check System Preferences > Sound > Input settings. 2. Ensure no obstructions near the microphone. 3. Restart MacBook. 4. Test with another app. 5. If microphone issues persist, consult Apple support.",Macbook,"microphone,sound,obstruction",100%
MacBook randomly restarts,"1. Check for software updates. 2. Disconnect external devices. 3. Reset SMC. 4. Run Disk Utility for potential drive issues. 5. If restarting persists, consult Apple support.",Macbook,"random,restarts,SMC",100%
MacBook's Spotlight search not working,"1. Rebuild Spotlight index via System Preferences. 2. Check Spotlight's privacy settings. 3. Restart MacBook. 4. Update macOS. 5. If search issues persist, consult Apple support.",Macbook,"Spotlight,search,index",100%
MacBook's App Store not downloading apps,"1. Check internet connection. 2. Ensure sufficient storage space. 3. Restart MacBook. 4. Log out and log in to the App Store. 5. If downloading issues persist, consult Apple support.",Macbook,"App Store,downloading,log in",100%
MacBook's HDMI port not working,"1. Check HDMI cable and ensure it's properly connected. 2. Restart MacBook. 3. Update macOS. 4. Test with another display. 5. If HDMI issues persist, consult Apple support.",Macbook,"HDMI,port,display",100%
MacBook unable to eject a disc,"1. Restart MacBook while holding down the trackpad button. 2. Use Disk Utility to eject. 3. Try the 'drutil eject' command in Terminal. 4. Tilt MacBook and try ejecting. 5. If ejection fails, consult Apple support.",Macbook,"eject,disc,drutil",100%
MacBook's USB ports not recognizing devices,"1. Ensure the USB device works on another computer. 2. Restart MacBook. 3. Reset SMC. 4. Update macOS. 5. If USB issues persist, consult Apple support.",Macbook,"USB,ports,SMC",100%
MacBook's screen has dead pixels,"1. Run a pixel fixer video. 2. Apply slight pressure with a soft cloth. 3. Restart MacBook. 4. Update display drivers. 5. If dead pixels remain, consult Apple support.",Macbook,"screen,dead pixels,fixer",100%
MacBook's Safari browser crashing frequently,"1. Clear Safari cache and history. 2. Disable extensions. 3. Restart MacBook. 4. Update macOS and Safari. 5. If crashes continue, consult Apple support.",Macbook,"Safari,crashing,extensions",100%
MacBook not connecting to a VPN,"1. Ensure internet connection is stable. 2. Reconfigure VPN settings. 3. Restart MacBook. 4. Update VPN software. 5. If connection issues persist, consult Apple support.",Macbook,"VPN,connection,settings",100%
MacBook's audio jack not working,"1. Check and clean the audio port for debris. 2. Try another headphone or speaker. 3. Restart MacBook. 4. Update macOS. 5. If audio jack issues persist, consult Apple support.",Macbook,"audio jack,debris,headphone",100%
MacBook's Time Machine backup is slow,"1. Ensure MacBook is plugged into a power source. 2. Close unnecessary apps. 3. Check the backup drive's health. 4. Restart MacBook. 5. If slowness persists, consult Apple support.",Macbook,"Time Machine,slow,backup drive",100%
MacBook's Siri not responding,"1. Check internet connection. 2. Ensure Siri is enabled in System Preferences. 3. Restart MacBook. 4. Update macOS. 5. If Siri issues persist, consult Apple support.",Macbook,"Siri,not responding,enabled",100%
MacBook's Notification Center not showing notifications,"1. Ensure Do Not Disturb is off. 2. Check System Preferences for app notifications. 3. Restart MacBook. 4. Update macOS. 5. If notification issues persist, consult Apple support.",Macbook,"Notification Center,Do Not Disturb,app notifications",100%
MacBook's keyboard backlight not working,"1. Check ambient light conditions. 2. Adjust in System Preferences > Keyboard. 3. Restart MacBook. 4. Reset SMC. 5. If backlight issues persist, consult Apple support.",Macbook,"keyboard,backlight,ambient light",100%
MacBook unable to install macOS updates,"1. Check internet connection. 2. Ensure sufficient storage space. 3. Restart MacBook. 4. Download updates manually from Apple's website. 5. If installation fails, consult Apple support.",Macbook,"macOS,updates,install",100%
MacBook's Preview app not opening files,"1. Ensure the file format is supported. 2. Restart MacBook. 3. Update macOS. 4. Reinstall Preview app. 5. If file issues persist, consult Apple support.",Macbook,"Preview app,files,format",100%
MacBook's sleep mode not working,"1. Check Energy Saver settings in System Preferences. 2. Disconnect external devices. 3. Restart MacBook. 4. Reset SMC. 5. If sleep issues persist, consult Apple support.",Macbook,"sleep mode,Energy Saver,SMC",100%
MacBook's screen showing color distortions,"1. Adjust display calibration in System Preferences. 2. Restart MacBook. 3. Reset PRAM/NVRAM. 4. Check for magnetic interferences. 5. If color issues persist, consult Apple support.",Macbook,"screen,color,distortions",100%
